Id,Name,hed__Program_Plan__c,hed__Course__c
a0I8c00001XiOIAEA3,Être relationnel,,a0C8c00000YK1qbEAD
a0I8c00001XiOHqEAN,Être un disciple,,a0C8c00000YK1qZEAT
a0I8c00001XiOIYEA3,Être un disciple,,a0C8c00000YK1qZEAT
a0I8c00001XiOFREA3,Connaître le Dieu trinitaire,a0K8c00000fNlvIEAS,a0C8c00000YJjaNEAT
a0I8c00001XiOFkEAN,Counseling biblique I,a0K8c00000fNlvIEAS,a0C8c00000XMMizEAH
a0I8c00001XiOFeEAN,Histoire de l'Église I,a0K8c00000fNlvIEAS,a0C8c00000XMMkTEAX
a0I8c00001XiOFjEAN,Introduction à l'Église et sa mission,a0K8c00000fNlvIEAS,a0C8c00000XMMlAEAX
a0I8c00001XiOFVEA3,Introduction à la Bible et son interprétation,a0K8c00000fNlvIEAS,a0C8c00000YJhblEAD
a0I8c00001XiOFZEA3,L'Évangile de Jésus-Christ,a0K8c00000fNlvIEAS,a0C8c00000XMMirEAH
a0I8c00001XiOFQEA3,Les quatre évangiles,a0K8c00000fNlvIEAS,a0C8c00000XMMljEAH
a0I8c00001XiOFUEA3,Origines et Histoire d'Israel,a0K8c00000fNlvIEAS,a0C8c00000XMMdJEAX
a0I8c00001XiOEcEAN,Connaître le Dieu trinitaire,a0K8c00000fNlvMEAS,a0C8c00000YJjaNEAT
a0I8c00001XiOE7EAN,Counseling Biblique I,a0K8c00000fNlvMEAS,a0C8c00000XMMizEAH
a0I8c00001XiOECEA3,Counseling biblique II,a0K8c00000fNlvMEAS,a0C8c00000XMMj2EAH
a0I8c00001XiOE8EAN,Counseling biblique III,a0K8c00000fNlvMEAS,a0C8c00000XMMYPEA5
a0I8c00001XiOEMEA3,Counseling biblique marital,a0K8c00000fNlvMEAS,a0C8c00000XMMj4EAH
a0I8c00001XiOEWEA3,Introduction à la Bible et son interprétation,a0K8c00000fNlvMEAS,a0C8c00000YJhblEAD
a0I8c00001XiOE9EAN,L'Évangile de Jésus-Christ,a0K8c00000fNlvMEAS,a0C8c00000XMMirEAH
a0I8c00001XiOEHEA3,Personnalité humaine I,a0K8c00000fNlvMEAS,a0C8c00000XMMm4EAH
a0ION00000166yD2AQ,Connaître le Dieu trinitaire,a0K8c00000fNlvREAS,a0C8c00000YJjaNEAT
a0ION00000166zp2AA,Counseling biblique I,a0K8c00000fNlvREAS,a0C8c00000XMMizEAH
a0ION00000166q92AA,Fondements bibliques et théologiques de l'aumônerie,a0K8c00000fNlvREAS,a0C8c00000XMMjxEAH
a0ION00000166uz2AA,Introduction à la Bible et son interprétation,a0K8c00000fNlvREAS,a0C8c00000YJhblEAD
a0ION00000166wb2AA,L'Évangile de Jésus-Christ,a0K8c00000fNlvREAS,a0C8c00000XMMirEAH
a0ION00000166rl2AA,Théorie et pratique de l'intervention en soins spirituels,a0K8c00000fNlvREAS,a0C8c00000XMMneEAH
a0ION00000166tN2AQ,Éthique de l'aumônier,a0K8c00000fNlvREAS,a0CON00000kGshp2AC
a0I8c00001XiRAoEAN,Actes à Apocalypse,a0K8c00000fOD1OEAW,a0C8c00000XMMiAEAX
a0I8c00001XiRCYEA3,Apologétique,a0K8c00000fOD1OEAW,a0C8c00000XMMiOEAX
a0I8c00001XiRBhEAN,Christologie et sotériologie,a0K8c00000fOD1OEAW,a0C8c00000YK8OiEAL
a0I8c00001XiRBXEA3,Connaître le Dieu trinitaire,a0K8c00000fOD1OEAW,a0C8c00000YJjaNEAT
a0I8c00001XiRCbEAN,Counseling biblique I,a0K8c00000fOD1OEAW,a0C8c00000XMMizEAH
a0I8c00001XiRBgEAN,Eschatologie : l'espérance chrétienne pour aujourd'hui,a0K8c00000fOD1OEAW,a0C8c00000YK8OsEAL
a0I8c00001XiRCcEAN,Gestion de vie,a0K8c00000fOD1OEAW,a0C8c00000XMMa8EAH
a0I8c00001XiRCOEA3,Histoire de l'Église I,a0K8c00000fOD1OEAW,a0C8c00000XMMkTEAX
a0I8c00001XiRCTEA3,Histoire de l'Église II,a0K8c00000fOD1OEAW,a0C8c00000XMMkWEAX
a0I8c00001XiRCXEA3,Initiation à la recherche,a0K8c00000fOD1OEAW,a0C8c00000XMMZLEA5
a0I8c00001XiRCdEAN,Introduction à l'Église et sa mission,a0K8c00000fOD1OEAW,a0C8c00000XMMlAEAX
a0I8c00001XiRBTEA3,Introduction à la Bible et son interprétation,a0K8c00000fOD1OEAW,a0C8c00000YJhblEAD
a0I8c00001XiRBDEA3,L'Évangile de Jésus-Christ,a0K8c00000fOD1OEAW,a0C8c00000XMMirEAH
a0I8c00001XiRCUEA3,L'Évangile et les grandes religions du monde,a0K8c00000fOD1OEAW,a0C8c00000XMMlKEAX
a0I8c00001XiRCZEA3,Le leader et son influence,a0K8c00000fOD1OEAW,a0C8c00000XMMlUEAX
a0I8c00001XiRBWEA3,Les quatre évangiles,a0K8c00000fOD1OEAW,a0C8c00000XMMljEAH
a0I8c00001XiRBSEA3,Origines et histoire d'Israël,a0K8c00000fOD1OEAW,a0C8c00000XMMdJEAX
a0I8c00001XiRBUEA3,Principes d'interprétation,a0K8c00000fOD1OEAW,a0C8c00000XMMmOEAX
a0I8c00001XiRBVEA3,"Prophètes, sages et poètes d'Israël",a0K8c00000fOD1OEAW,a0C8c00000XMMmSEAX
a0I8c00001XiRBaEAN,Prédication biblique,a0K8c00000fOD1OEAW,a0C8c00000XMMbTEAX
a0I8c00001XiRAjEAN,Rayonnement de l'Évangile dans la communauté,a0K8c00000fOD1OEAW,a0C8c00000XMMjnEAH
a0I8c00001XiRCVEA3,Spiritualité biblique,a0K8c00000fOD1OEAW,a0C8c00000XMMbsEAH
a0I8c00001XiRCWEA3,Stage : coaching et multiplication de disciples,a0K8c00000fOD1OEAW,a0C8c00000YKCMCEA5
a0I8c00001XiRAkEAN,Stage : ministères dans l'Église locale,a0K8c00000fOD1OEAW,a0C8c00000YKCMMEA5
a0I8c00001XiRApEAN,Théologie de la révélation,a0K8c00000fOD1OEAW,a0C8c00000YJhbbEAD
a0I8c00001XiRBkEAN,Théologie de la trinité,a0K8c00000fOD1OEAW,a0C8c00000YK8P2EAL
a0I8c00001XiRAiEAN,Théologie des Écritures,a0K8c00000fOD1OEAW,a0C8c00000YK8PMEA1
a0I8c00001XiRCaEAN,Théologie pastorale,a0K8c00000fOD1OEAW,a0C8c00000XMMnYEAX
a0ION000000KBDp2AO,"Fondements bibliques et théologiques de l'aumônerie (1,5 u.)",a0KON000006qEzX2AU,a0C8c00000XMMjxEAH
a0ION000000KE6r2AG,Intervention en situations de crise,a0KON000006qEzX2AU,a0C8c00000XMMl8EAH
a0ION000000KE8T2AW,L'Évangile et les grandes religions du monde,a0KON000006qEzX2AU,a0C8c00000XMMlKEAX
a0ION000000KEA52AO,"L’Église, la miséricorde et les marginaux",a0KON000006qEzX2AU,a0C8c00000XMMmYEAX
a0ION000000KEBh2AO,"Soins spirituels envers les malades, mourants et endeuillés",a0KON000006qEzX2AU,a0C8c00000XMMmqEAH
a0ION000000KBH32AO,Théorie et pratique de l'intervention en soins spirituels,a0KON000006qEzX2AU,a0C8c00000XMMcmEAH
a0ION000000KE3d2AG,Éthique de l'aumônier,a0KON000006qEzX2AU,a0CON00000kGshp2AC
