Id,Name,hed__Course_ID__c
a0C8c00000XMMczEAH,Espérance,IMS603
a0C8c00000YJgiUEAT,Exercices de ministère,EP9122
a0C8c00000XMMYHEA5,Exercices de ministère,EP6220
a0CON00002qEb2z2AC,Exode,AT2122
a0C8c00000XMMjwEAH,Exposition de Genèse,AT6121
a0C8c00000XMMjvEAH,Exposition de Genèse,AT2121
a0C8c00000YKCMgEAP,Exégèse,IMS710
a0C8c00000XMMjpEAH,Exégèse du grec,LA3735
a0C8c00000XMMjqEAH,Exégèse du grec,LA7735
a0C8c00000YJhbWEAT,Exégèse grecque I,LA6731
a0C8c00000XMMdOEAX,Exégèse grecque I,LA2731
a0C8c00000XMMcIEAX,Exégèse grecque I et II,LA9730
a0C8c00000XMMjsEAH,Exégèse grecque I et II,LA6730
a0C8c00000XMMjrEAH,Exégèse grecque I et II,LA2730
a0C8c00000XMMdREAX,Exégèse grecque II,LA2732
a0C8c00000XMMdKEAX,Exégèse hébraïque I,LA2741
a0C8c00000ZMkyUEAT,Exégèse hébraïque I,LA6741
a0C8c00000XMMjtEAH,Exégèse hébraïque II,LA2742
a0C8c00000XMMjuEAH,Exégèse hébraïque II,LA6742
a0C8c00000XMMYnEAP,Exégèse I,LA6751
a0C8c00000XMMYoEAP,Exégèse II,LA6752
a0CON00000Cx93c2AB,Faire des disciples au travers de l'accueil,EP0110
a0C8c00000XMMdAEAX,Famille,IMS705
a0C8c00000XMMXVEA5,Famille Église primitive,EP2310
a0CON00000rVMHj2AO,Femmes dans le ministère et en leadership,EP2518
a0C8c00000YT1xJEAT,Femmes enseignant la Parole de Dieu,EP9610-04
a0C8c00000YT1xEEAT,"Femmes et l’évangélisation locale, régionale, globale",EP9610-03
a0C8c00000XMMcpEAH,Foi,IMS501
a0C8c00000XMMcoEAH,Fondement,IMS500
a0C8c00000XMMcnEAH,Fondement biblique de l'implantation,CE1200
a0C8c00000XMMapEAH,Fondement de l'implantation d'église,CEI500
a0C8c00000XMMciEAH,Fondements bibliques de l'adoration,EP2561
a0C8c00000XMMjyEAH,Fondements bibliques et théologiques de l'aumônerie,HP7301
a0C8c00000XMMjxEAH,Fondements bibliques et théologiques de l'aumônerie,HP3301
a0C8c00000XMMjzEAH,Fondements d'interprétation,BI1200
a0C8c00000XMMk0EAH,Fondements d'interprétation,BI5000
a0C8c00000XMMaWEAX,Fondements de l'implantation d'Église,CEI200
a0C8c00000XMMZdEAP,Fondements des relations entre les Testaments,TS6300
a0C8c00000YJgijEAD,Fondements des relations entre les Testaments,TS9130
a0C8c00000XMMXLEA5,Formation chrétienne,EP1521
a0C8c00000XMMYAEA5,Formation cure d'âme (1er),EP4535
a0C8c00000XMMYKEA5,Formation cure d'âme (2e),EP6544
a0C8c00000XMMY2EAP,Formation dans l'Église locale,EP1210
a0C8c00000YK1r4EAD,Formation de disciples,CBE605
a0C8c00000XMMdUEAX,Formation Je suis deuxième,EP1555
a0C8c00000XMMk1EAH,GAP - DFC I,EP3512
a0C8c00000XMMk2EAH,GAP - DFC I,EP7512
a0C8c00000XMMk4EAH,GAP - DFC II,EP7513
a0C8c00000XMMk3EAH,GAP - DFC II,EP3513
a0C8c00000XMMk6EAH,GAP - DFC III,EP7514
a0C8c00000XMMk5EAH,GAP - DFC III,EP3514
a0C8c00000XMMk8EAH,GAP - DFC IV,EP7515
